rowid,kepid,koi_disposition,koi_pdisposition,koi_fpflag_ss,koi_fpflag_co,koi_period,koi_time0bk,koi_impact,koi_duration,koi_depth,koi_prad,koi_teq,koi_insol,koi_model_snr,koi_steff,koi_slogg,koi_srad,ra,dec,koi_kepmag,label
8152,5598639,FALSE POSITIVE,FALSE POSITIVE,1,0,0.648775795,131.7459799,0.961,4.34648,5385.612499999999,41.58,1714.0,2038.54,255.76250000000002,5143.0,4.559,0.776,283.77744,40.842037,10.565749999999998,0
8153,5610698,FALSE POSITIVE,FALSE POSITIVE,1,0,4.132521615,132.892463,0.877,12.28915,5385.612499999999,56.65125,1628.0,1660.29,255.76250000000002,6567.0,4.045,1.636,288.92068,40.881302,13.894,0
8155,5621294,FALSE POSITIVE,FALSE POSITIVE,1,0,0.938905082,131.8411582,0.54,5.00453,5385.612499999999,56.65125,2797.125,2761.2975000000006,255.76250000000002,7256.5,3.784,2.0783750000000003,292.21927,40.89333,13.613,0
8156,6594972,FALSE POSITIVE,FALSE POSITIVE,1,0,10.819169459,132.9864665,0.275,5.50262,5385.612499999999,56.65125,850.0,123.51,255.76250000000002,5955.0,4.429,0.991,288.29306,42.057369,14.342,0
8157,6595662,FALSE POSITIVE,FALSE POSITIVE,1,0,2.680514453,132.598382,0.359,3.21178,5385.612499999999,48.86,1431.0,989.89,255.76250000000002,6038.0,4.356,1.076,288.53311,42.047619,14.746,0
8159,6606669,FALSE POSITIVE,FALSE POSITIVE,1,1,0.970085646,132.4088,0.035,1.129,153.0,18.65,2797.125,2761.2975000000006,9.8,4555.0,3.7465000000000015,2.0783750000000003,291.99316,42.049259,12.026,0
8160,6610219,FALSE POSITIVE,FALSE POSITIVE,1,0,11.300987626,228.323880625,0.606,10.5199,5385.612499999999,56.65125,1019.0,254.84,255.76250000000002,6143.0,4.165,1.448,293.02563,42.001381,13.203,0
8161,6610433,FALSE POSITIVE,FALSE POSITIVE,0,0,0.92098747,131.87056,0.576,2.04,507.45000000000005,2.68,928.0,2761.2975000000006,30.75,5779.5,4.438,1.0,293.08749,42.024651,10.565749999999998,0
8162,7368103,FALSE POSITIVE,FALSE POSITIVE,1,0,2.182515126,132.354186,0.968,6.8413,5385.612499999999,56.65125,2703.0,2761.2975000000006,255.76250000000002,7256.5,3.966,2.0783750000000003,293.41541,42.917259,13.419,0
8163,7369523,FALSE POSITIVE,FALSE POSITIVE,1,0,2.659418888,133.3208183,0.634,6.98414,5385.612499999999,56.65125,1352.0,789.69,255.76250000000002,6156.0,4.5,0.932,293.8414,42.948139,14.905,0
8165,7385387,FALSE POSITIVE,FALSE POSITIVE,0,1,1.65546056,133.13661,0.109,3.52,125.1,0.9,1331.0,743.75,12.4,5438.0,4.574,0.82,297.7178,42.989311,15.876,0
8166,7385478,FALSE POSITIVE,FALSE POSITIVE,1,0,1.655472351,133.126106,0.836,5.09197,5385.612499999999,56.65125,2546.0,2761.2975000000006,255.76250000000002,6725.0,3.86,2.0783750000000003,297.74109,42.99609,11.471,0
8167,8243263,FALSE POSITIVE,FALSE POSITIVE,1,0,1.759276227,132.0750778,1.026,3.19585,5385.612499999999,40.79,1861.0,2761.2975000000006,255.76250000000002,6656.0,4.351,1.232,295.22525,44.112679,12.984,0
8168,8244295,FALSE POSITIVE,FALSE POSITIVE,0,0,1.09206792,132.1066,0.378,1.646,105.9,0.74,1320.0,715.46,7.7,4856.0,4.609,0.728,295.54388,44.12537,15.924,0
8170,8265990,FALSE POSITIVE,FALSE POSITIVE,0,0,0.77996263,132.1472,0.0723,3.369,25.7,0.83,2607.0,2761.2975000000006,9.7,6002.0,4.032,1.629,301.36261,44.173409,13.417,0
8172,9119405,FALSE POSITIVE,FALSE POSITIVE,0,0,18.646323091,139.0920079,0.742,8.853,5385.612499999999,56.65125,1194.0,480.54,255.76250000000002,5786.0,3.7465000000000015,2.0783750000000003,300.89032,45.403431,13.729,0
8174,9156957,FALSE POSITIVE,FALSE POSITIVE,0,1,3.6673005,133.1255,0.1985,3.373,144.9,0.62,627.0,36.42,9.1,4196.5,4.729,0.519,292.78583,45.585789,15.826,0
8175,9163674,FALSE POSITIVE,FALSE POSITIVE,1,0,0.773144492,131.6393074,0.694,4.05643,5385.612499999999,56.65125,2797.125,2761.2975000000006,255.76250000000002,6413.0,4.038,1.91,295.28845,45.518337,13.833,0
8176,9172506,FALSE POSITIVE,FALSE POSITIVE,1,0,50.440285363,149.90838,0.658,12.2001,5385.612499999999,51.5,673.0,48.36,255.76250000000002,6225.0,4.039,1.646,297.96613,45.545792,12.009,0
8177,9179531,FALSE POSITIVE,FALSE POSITIVE,1,0,3.255385289,132.498277,0.523,5.9498,5385.612499999999,40.58,1236.0,550.68,255.76250000000002,5806.0,4.425,0.975,299.92822,45.595081,15.091,0
8178,9963639,FALSE POSITIVE,FALSE POSITIVE,0,0,7.4185369,131.5282,0.053,1.451,14.7,0.81,1963.0,2761.2975000000006,5.2,7256.5,4.179,2.045,296.69196,46.869171,11.364,0
8179,9965691,FALSE POSITIVE,FALSE POSITIVE,0,0,15.68434493,133.03069,1.206,12.28915,791.6,56.23,1136.0,393.14,255.76250000000002,6407.0,3.888,2.0783750000000003,297.32681,46.845211,13.102,0
8180,10000490,FALSE POSITIVE,FALSE POSITIVE,1,0,1.400991827,132.453975,1.093,4.8798,5385.612499999999,56.65125,2468.0,2761.2975000000006,255.76250000000002,6706.0,4.026,1.924,286.556,46.95734,11.244,0
8182,10014702,FALSE POSITIVE,FALSE POSITIVE,0,0,1.34062901,132.0803,0.531,3.076,69.5,0.82,1678.0,1876.57,13.1,6045.0,4.494,0.955,293.12991,46.921768,15.13,0
8183,11027270,FALSE POSITIVE,FALSE POSITIVE,0,0,0.533628226,132.00331,0.9385,5.772,81.8,2.41,2797.125,2761.2975000000006,35.3,7163.0,3.906,2.0783750000000003,290.64642,48.597092,11.299,0
8184,11027722,FALSE POSITIVE,FALSE POSITIVE,1,1,0.678137665,132.138369,1.263,1.00718,885.0,30.37,2274.0,2761.2975000000006,172.7,6429.0,4.449,0.942,290.90582,48.531811,14.291,0
8186,11071207,FALSE POSITIVE,FALSE POSITIVE,0,0,8.04963472,138.6541935,0.671,6.00488,5385.612499999999,56.65125,1247.0,571.1,255.76250000000002,6698.0,4.171,1.485,284.41779,48.680908,13.831,0
8187,11124509,FALSE POSITIVE,FALSE POSITIVE,1,0,4.446459958,135.730111,1.277,2.558,5385.612499999999,36.15,1030.0,265.42,178.3,5615.0,4.504,0.893,284.40344,48.70808,14.735,0
8190,12506342,FALSE POSITIVE,FALSE POSITIVE,0,1,1.22775105,132.56346,0.262,1.602,327.6,1.0,1094.0,340.64,20.3,4551.0,4.713,0.56,289.04477,51.415379,15.715,0
8192,12557713,FALSE POSITIVE,FALSE POSITIVE,1,0,7.214721393,132.498654,0.898,2.36464,5385.612499999999,16.79,630.0,37.12,255.76250000000002,4705.0,4.696,0.552,291.08231,51.558361,14.853,0
